name,B11-28F,B12-28F,B13-28F,B14-28F,B15-28F
Lactococcus,17,204,8,7,4
Tannerella,646,170,670,421,548
Barnesiella,6,2,12,8,21
Bacteroides,604,406,436,260,443
Hydrogenoanaerobacterium,1,0,7,1,0
Clostridium,179,398,564,400,737
Lactobacillus,53,312,59,149,281
Oscillibacter,14,38,47,31,44
Prevotella,196,31,110,49,34
Clostridium::Eubacterium,0,2,0,0,9
Porphyromonas,0,0,2,0,2
Parabacteroides,32,21,11,13,27
Alistipes,103,32,25,29,59
Eubacterium,159,102,62,64,97
Helicobacter,5,4,65,67,1
Coprococcus,26,11,25,48,53
Clostridium::Bacteroides,0,0,0,0,8
Oscillospira,4,7,9,0,10
Roseburia,9,37,13,58,69
Allobaculum,0,1,0,0,0
Parasutterella,2,0,0,4,5
Roseburia::Clostridium,1,0,0,0,1
Odoribacter::Tannerella,0,0,0,0,0
Eubacterium (Erysipelotrichaceae),52,82,0,48,51
Odoribacter,17,50,39,44,94
Paraprevotella,22,0,9,0,0
Blautia::Clostridium,14,45,58,0,6
Sphingobacterium,1,0,0,1,0
Alkalitalea,3,1,33,38,19
Ruminococcus,11,36,13,4,43
Blautia::Anaerostipes,0,0,0,0,0
Anaerostipes,0,0,0,1,0
Alistipes::Bacteroides,3,12,5,5,3
Eubacterium (Erysipelotrichaceae)::Eubacterium,1,4,0,3,5
Alkalitalea::Sphingobacterium,0,0,0,0,1
Turicibacter,265,242,1,111,214
Butyrivibrio,14,44,19,42,20
Pseudoflavonifractor,2,9,4,12,9
Sharpea,0,0,0,0,0
Parabacteroides::Bacteroides,16,4,4,6,8
Johnsonella,0,0,0,0,0
Butyricicoccus,1,0,0,1,3
Paludibacter,0,0,0,0,0
Blautia,13,32,29,7,7
Ruminococcus::Clostridium,0,2,0,0,1
Bryantella,3,0,1,5,2
Desulfovibrio,0,1,2,5,2
Alkalitalea::Tannerella,0,0,0,0,0
Bacteroides::Alistipes,3,0,2,0,0
TM7 (genus),0,1,1,1,5
Escherichia,0,0,0,0,0
Clostridium::Ruminococcus,0,0,0,4,6
Clostridium::Desulfotomaculum,0,2,3,0,0
Blautia::Ruminococcus,1,4,1,0,0
Bacillus,9,3,3,0,17
Ruminofilibacter,1,0,1,4,0
Anaerotruncus,2,1,7,0,2
Candidatus Arthromitus,0,0,0,5,0
Oribacterium,0,1,3,1,7
Anaeroplasma,2,0,0,0,0
Bilophila,0,0,0,0,0
Lactobacillus::Lactococcus,0,1,0,0,0
Sporanaerobacter,0,0,0,0,0
Ethanoligenens,0,0,0,0,0
Butyricimonas,1,1,0,2,4
Adlercreutzia,0,0,3,0,1
Clostridium::Coprococcus,0,0,0,0,0
Catonella,0,5,4,1,19
Denitrobacterium,0,0,0,0,0
Lachnobacterium,0,0,1,3,3
Enterorhabdus,0,1,0,0,0
Eggerthella,0,0,0,0,0
Pseudomonas,0,0,0,0,0
Rikenella,0,3,0,28,27
Desulfotomaculum,1,1,0,0,4
Catabacter::Ruminococcus,1,0,0,0,0
Desulfitobacterium,3,6,0,0,0
Clostridium::Anaerostipes,0,0,0,0,4
Rhodospirillum,14,0,0,37,5
Clostridium::Roseburia::Subdoligranulum,0,0,0,0,0
Alkaliphilus,1,0,2,0,0
Sporobacter,2,1,0,0,2
Tindallia,0,0,0,0,0
Treponema,2,0,0,0,9
Gelidibacter,1,0,0,0,0
Clostridium::Roseburia,0,0,0,0,1
Clostridium::Blautia,2,0,1,0,0
Anaerostipes::Blautia,0,0,0,0,0
Halanaerobacter,0,0,0,0,0
Streptomyces,0,0,0,0,0
Terasakiella,5,0,0,2,1
Methylobacterium,0,0,0,0,0
Cytophaga,0,0,0,0,0
Streptococcus,0,0,0,0,0
Limibacter,0,0,0,1,0
Pseudoflavonifractor::Clostridium,0,0,0,0,0
Fusobacterium,0,0,0,0,0
Fluviicola,0,0,1,0,0
Desulfuromonas,1,0,1,1,2
Dorea,0,1,0,1,0
Butyrivibrio::Eubacterium,0,0,0,0,0
Porphyromonas::Prevotella,0,0,0,0,0
Flavobacterium,0,0,0,0,0
Desulfocurvus,0,0,0,0,0
Clostridium::Dorea,0,0,0,0,0
Eubacterium::Sporobacter,0,0,0,0,0
Parasporobacterium,0,0,0,0,0
Eubacterium::Clostridium,0,0,0,0,0
Lachnospira,0,0,0,5,9
Anaerotruncus::Clostridium,0,0,0,0,0
Mucispirillum,0,0,0,0,0
Clostridium (Erysipelotrichaceae),1,1,0,0,0
Eubacterium::Roseburia,0,1,0,0,0
Anaerotruncus::Ruminococcus,0,0,0,0,0
Anaerofilum,0,0,0,0,0
Sphingobium,0,0,0,0,0
Anaerovorax,0,0,0,0,1
Eubacterium::Ruminococcus,0,0,0,0,0
Desulfonispora,0,2,0,0,0
Sporobacterium,0,1,0,0,0
Eubacterium::Blautia,0,0,0,0,0
Dokdonia,0,0,0,0,0
Ruminococcus::Parabacteroides,0,1,0,0,0
Faecalibacterium,0,4,0,0,0
Blautia::Lachnobacterium,0,2,0,0,0
Catabacter,0,1,0,0,0
Desulfosporosinus,0,3,0,0,0
Caminicella,0,0,0,0,0
Acetivibrio,0,0,0,0,0
Clostridium::Ruminococcus::Parabacteroides,0,0,0,1,0
Dysgonomonas,0,0,0,1,0
Desulfotomaculum::Clostridium,0,0,0,0,0
Adlercreutzia::Asaccharobacter,0,0,0,0,0
Acetitomaculum,0,0,0,0,0
Bacteroides::Tannerella,0,0,0,0,0
Flexibacter,0,1,0,0,0
Arthrobacter,0,0,0,0,0
Syntrophomonas,0,0,0,0,0
Paraeggerthella,0,0,0,0,0
Butyrivibrio::Clostridium,0,0,0,0,0
Pseudobutyrivibrio,0,1,0,0,0
Blautia::Ruminococcus::Coprococcus,0,0,0,0,0
Bacteroides::Parabacteroides,0,0,0,0,0
Blautia::Clostridium::Dorea,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0
Candidatus Phytoplasma,0,0,0,0,0
Lactonifactor,0,1,0,0,0
Anaerostipes::Clostridium,0,0,0,0,0
Robinsoniella,0,0,0,0,0
Coprobacillus,0,0,0,0,0
Clostridium::Anaerotruncus,0,0,0,0,0
Subdoligranulum,0,0,0,0,0
Clostridium::Roseburia::Blautia,0,0,0,0,0
Ruminococcus::Blautia::Clostridium,0,0,0,0,0
Herbaspirillum,0,0,0,0,0
Anaerophaga,0,0,0,0,0
Lachnospira::Catonella,0,0,0,0,0
Leifsonia,0,0,0,0,0
Oxobacter,0,0,0,0,0
